Title,Genre,Revenue (Millions),Rating
Neighbors,Comedy,150.06,6.4
Nymphomaniac: Vol. II,Other,0.33,6.7
Wild,Adventure,37.88,7.1
Grown Ups,Comedy,162.0,6.0
Blair Witch,Horror,20.75,5.1
The Karate Kid,Action,176.59,6.2
Dark Shadows,Comedy,79.71,6.2
Friends with Benefits,Comedy,55.8,6.6
The Illusionist,Other,39.83,7.6
The A-Team,Action,77.21,6.8
The Guest,Other,0.32,6.7
The Internship,Comedy,44.67,6.3
Paul,Adventure,37.37,7.0
This Beautiful Fantastic,Comedy,,6.9
The Da Vinci Code,Other,217.54,6.6
Mr. Church,Comedy,0.6900000000000001,7.7
Hugo,Adventure,73.82,7.5
The Blackcoat's Daughter,Horror,0.02,5.6
Body of Lies,Action,39.38,7.1
Knight of Cups,Other,0.56,5.7
The Mummy: Tomb of the Dragon Emperor,Action,102.18,5.2
The Boss,Comedy,63.03,5.4
Hands of Stone,Action,4.71,6.6
El secreto de sus ojos,Other,20.17,8.2
True Grit,Adventure,171.03,7.6
We Are Your Friends,Other,3.59,6.2
A Million Ways to Die in the West,Comedy,42.62,6.1
Only for One Night,Other,,4.6
Rules Don't Apply,Comedy,3.65,5.7
Ouija: Origin of Evil,Horror,34.9,6.1
Percy Jackson: Sea of Monsters,Adventure,68.56,5.9
Fracture,Crime,39.0,7.2
Oculus,Horror,27.69,6.5
In Bruges,Comedy,7.76,7.9
This Means War,Action,54.76,6.3
Lída Baarová,Other,,5.0
The Road,Adventure,0.06,7.3
Lavender,Other,,5.2
Deuces,Other,,6.6
Conan the Barbarian,Action,21.27,5.2
The Fighter,Action,93.57,7.8
August Rush,Other,31.66,7.5
Chef,Comedy,31.24,7.3
Eye in the Sky,Other,18.7,7.3
Eagle Eye,Action,101.11,6.6
The Purge,Horror,64.42,5.7
PK,Comedy,10.57,8.2
Ender's Game,Action,61.66,6.7
Indiana Jones and the Kingdom of the Crystal Skull,Action,317.01,6.2
Paper Towns,Other,31.99,6.3
High-Rise,Other,0.34,5.7
Quantum of Solace,Action,168.37,6.6
The Assignment,Action,,4.5
How to Train Your Dragon,Animation,217.39,8.1
Lady in the Water,Other,42.27,5.6
The Fountain,Other,10.14,7.3
Cars 2,Animation,191.45,6.2
31,Horror,0.78,5.1
Final Girl,Action,,4.7
Chalk It Up,Comedy,,4.8
The Man Who Knew Infinity,Other,3.86,7.2
Unknown,Action,61.09,6.9
Self/less,Action,12.28,6.5
Mr. Brooks,Crime,28.48,7.3
Tramps,Comedy,,6.5
Before We Go,Comedy,0.04,6.9
Captain Phillips,Other,107.1,7.8
The Secret Scripture,Other,,6.8
Max Steel,Action,3.77,4.6
Hotel Transylvania 2,Animation,169.69,6.7
Hancock,Action,227.95,6.4
Sisters,Comedy,87.03,6.0
The Family,Comedy,36.92,6.3
Zack and Miri Make a Porno,Comedy,31.45,6.6
Ma vie de Courgette,Animation,0.29,7.8
Man on a Ledge,Action,18.6,6.6
No Strings Attached,Comedy,70.63,6.2
Rescue Dawn,Adventure,5.48,7.3
Despicable Me 2,Animation,368.05,7.4
A Walk Among the Tombstones,Crime,25.98,6.5
The World's End,Action,26.0,7.0
Yoga Hosers,Comedy,,4.3
Seven Psychopaths,Comedy,14.99,7.2
Beowulf,Animation,82.16,6.2
Jack Ryan: Shadow Recruit,Action,50.55,6.2
1408,Fantasy,71.98,6.8
The Gambler,Crime,33.63,6.0
Prince of Persia: The Sands of Time,Action,90.76,6.6
The Spectacular Now,Comedy,6.85,7.1
A United Kingdom,Other,3.9,6.8
USS Indianapolis: Men of Courage,Action,,5.2
Turbo Kid,Action,0.05,6.7
Mama,Horror,71.59,6.2
Orphan,Horror,41.57,7.0
To Rome with Love,Comedy,16.68,6.3
Fantastic Mr. Fox,Animation,21.0,7.8
Inside Man,Crime,88.5,7.6
I.T.,Crime,,5.4
127 Hours,Adventure,18.33,7.6
Annabelle,Horror,84.26,5.4
Wolves at the Door,Horror,,4.6
Suite Française,Other,,6.9
The Imaginarium of Doctor Parnassus,Adventure,7.69,6.8
G.I. Joe: The Rise of Cobra,Action,150.17,5.8
Christine,Other,0.30000000000000004,7.0
Man Down,Other,,5.8
Crawlspace,Horror,,5.3
Shut In,Other,6.88,4.6
The Warriors Gate,Action,,5.3
Grindhouse,Action,25.03,7.6
Disaster Movie,Comedy,14.17,1.9
Rocky Balboa,Other,70.27,7.2
Diary of a Wimpy Kid: Dog Days,Comedy,49.0,6.4
Jane Eyre,Other,11.23,7.4
Fool's Gold,Action,70.22,5.7
The Dictator,Comedy,59.62,6.4
The Loft,Other,5.98,6.3
Bacalaureat,Crime,0.13,7.5
You Don't Mess with the Zohan,Action,100.02,5.5
Exposed,Crime,,4.2
Maudie,Other,,7.8
Horrible Bosses 2,Comedy,54.41,6.3
A Bigger Splash,Other,1.98,6.4
Melancholia,Other,3.03,7.1
The Princess and the Frog,Animation,104.37,7.1
Unstoppable,Action,81.56,6.8
Flight,Other,93.75,7.3
Home,Animation,177.34,6.7
La migliore offerta,Crime,0.09,7.8
Mean Dreams,Other,,6.3
42,Other,95.0,7.5
21,Crime,81.16,6.8
Begin Again,Other,16.17,7.4
Out of the Furnace,Crime,11.33,6.8
Vicky Cristina Barcelona,Other,23.21,7.1
Kung Fu Panda,Animation,215.4,7.6
Barbershop: The Next Cut,Comedy,54.01,5.9
Terminator Salvation,Action,125.32,6.6
Freedom Writers,Other,36.58,7.5
The Hills Have Eyes,Horror,41.78,6.4
Changeling,Other,35.71,7.8
Remember Me,Other,19.06,7.2
Koe no katachi,Animation,,8.4
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy,66.95,6.2
Locke,Other,1.3599999999999999,7.1
The 9th Life of Louis Drax,Other,,6.3
Horns,Other,0.16,6.5
Indignation,Other,3.4,6.9
The Stanford Prison Experiment,Other,0.64,6.9
Diary of a Wimpy Kid: Rodrick Rules,Comedy,52.69,6.6
Mission: Impossible III,Action,133.38,6.9
En man som heter Ove,Comedy,3.36,7.7
Dragonball Evolution,Action,9.35,2.7
Red Dawn,Action,44.8,5.4
One Day,Other,13.77,7.0
Life as We Know It,Comedy,53.36,6.6
28 Weeks Later,Other,28.64,7.0
Warm Bodies,Comedy,66.36,6.9
Blue Jasmine,Other,33.4,7.3
G.I. Joe: Retaliation,Action,122.51,5.8
Wrath of the Titans,Action,83.64,5.8
Shin Gojira,Action,1.9100000000000001,6.9
Saving Mr. Banks,Other,83.3,7.5
Transcendence,Other,23.01,6.3
Rio,Animation,143.62,6.9
Equals,Other,0.03,6.1
Babel,Other,34.3,7.5
The Tree of Life,Other,13.3,6.8
The Lucky One,Other,60.44,6.5
Piranha 3D,Comedy,25.0,5.5
50/50,Comedy,34.96,7.7
The Intent,Crime,,3.5
This Is 40,Comedy,67.52,6.2
Real Steel,Action,85.46,7.1
Sex and the City,Comedy,152.64,5.5
Rambo,Action,42.72,7.1
Planet Terror,Action,,7.1
Concussion,Other,34.53,7.1
The Fall,Adventure,2.2800000000000002,7.9
The Ugly Truth,Comedy,88.92,6.5
Bride Wars,Comedy,58.72,5.5
Sleeping with Other People,Comedy,0.81,6.5
Snakes on a Plane,Action,34.01,5.6
What If,Comedy,3.45,6.8
How to Train Your Dragon 2,Animation,177.0,7.9
RoboCop,Action,58.61,6.2
In Dubious Battle,Other,,6.2
"Hello, My Name Is Doris",Comedy,14.44,6.7
Ocean's Thirteen,Crime,117.14,6.9
Slither,Comedy,7.77,6.5
Contagion,Other,75.64,6.6
Il racconto dei racconti - Tale of Tales,Other,0.08,6.4
I Am the Pretty Thing That Lives in the House,Other,,4.7
Bridge to Terabithia,Adventure,82.23,7.2
Coherence,Other,0.07,7.2
Notorious,Other,36.84,6.7
Goksung,Other,0.79,7.5
The Expendables 2,Action,85.02,6.6
The Girl Next Door,Crime,,6.7
Perfume: The Story of a Murderer,Crime,2.21,7.5
The Golden Compass,Adventure,70.08,6.1
Centurion,Action,0.12,6.4
Scouts Guide to the Zombie Apocalypse,Action,3.64,6.3
17 Again,Comedy,64.15,6.4
No Escape,Action,27.29,6.8
Superman Returns,Action,200.07,6.1
The Twilight Saga: Breaking Dawn - Part 1,Adventure,281.28,4.9
Precious,Other,47.54,7.3
The Sea of Trees,Other,0.02,5.9
Good Kids,Comedy,,6.1
The Master,Other,16.38,7.1
Footloose,Comedy,51.78,5.9
If I Stay,Other,50.46,6.8
The Ticket,Other,,5.4
Detour,Other,,6.3
The Love Witch,Comedy,0.22,6.2
Talladega Nights: The Ballad of Ricky Bobby,Action,148.21,6.6
The Human Centipede (First Sequence),Horror,0.18,4.4
Super,Comedy,0.32,6.8
The Siege of Jadotville,Action,,7.3
Up in the Air,Other,83.81,7.4
The Midnight Meat Train,Horror,0.07,6.1
The Twilight Saga: Eclipse,Adventure,300.52,4.9
Transpecos,Other,,5.8
What's Your Number?,Comedy,13.99,6.1
Riddick,Action,42.0,6.4
Triangle,Fantasy,,6.9
The Butler,Other,116.63,7.2
King Cobra,Crime,0.03,5.6
After Earth,Action,60.52,4.9
Kicks,Adventure,0.15,6.1
Me and Earl and the Dying Girl,Comedy,6.74,7.8
The Descendants,Comedy,82.62,7.3
Sex and the City 2,Comedy,95.33,4.3
The Kings of Summer,Adventure,1.29,7.2
Death Race,Action,36.06,6.4
That Awkward Moment,Comedy,26.05,6.2
Legion,Action,40.17,5.2
End of Watch,Crime,40.98,7.7
3 Days to Kill,Action,30.69,6.2
Lucky Number Slevin,Crime,22.49,7.8
Trance,Crime,2.32,7.0
Into the Forest,Other,0.01,5.9
The Other Boleyn Girl,Other,26.81,6.7
I Spit on Your Grave,Crime,0.09,6.3
Custody,Other,,6.9
Inland Empire,Other,,7.0
L'odyssée,Adventure,,6.7
The Walk,Adventure,10.14,7.3
Wrecker,Action,,3.5
The Lone Ranger,Action,89.29,6.5
Texas Chainsaw 3D,Horror,34.33,4.8
Disturbia,Other,80.05,6.9
Rock of Ages,Comedy,38.51,5.9
Scream 4,Horror,38.18,6.2
Queen of Katwe,Other,8.81,7.4
My Big Fat Greek Wedding 2,Comedy,59.57,6.0
Dark Places,Other,,6.2
Amateur Night,Comedy,,5.0
It's Only the End of the World,Other,,7.0
The Skin I Live In,Other,3.19,7.6
Miracles from Heaven,Other,61.69,7.0
Annie,Comedy,85.91,5.3
Across the Universe,Other,24.34,7.4
Let's Be Cops,Comedy,82.39,6.5
Max,Adventure,42.65,6.8
Your Highness,Adventure,21.56,5.6
Final Destination 5,Horror,42.58,5.9
Endless Love,Other,23.39,6.3
Martyrs,Horror,,7.1
Selma,Other,52.07,7.5
Underworld: Rise of the Lycans,Action,45.8,6.6
Taare Zameen Par,Other,1.2,8.5
Take Me Home Tonight,Comedy,6.92,6.3
Resident Evil: Afterlife,Action,60.13,5.9
Project X,Comedy,54.72,6.7
Secret in Their Eyes,Crime,,6.2
Hostel: Part II,Horror,17.54,5.5
Step Up 2: The Streets,Other,58.01,6.2
Search Party,Adventure,,5.6
Nine Lives,Comedy,19.64,5.3
